,Validated Parameter Name,Units,Description
99,GP Engage - FCC,,Glidepath AP Mode Engaged
100,Ground Spd,kts,Ground Speed
101,Groundspeed FMC,kts,Ground Speed Calculated by FMC
102,Groundspeed Disp -L,kts,Ground Speed Displayed on Left PFD
103,GS Engaged -FCC,,Glideslope AP Mode Engaged
104,HDG SEL Light-FCC,,Heading Select Light Active
105,HDG SELECT-FCC,,Heading Select AP Mode Engaged
106,Heading,deg,Magnetic Heading
107,Heading Selected FCC,deg,FCC Heading Selected
108,High Speed Buffet Speed,kts,High Speed Buffet Speed
109,Hyd Oil Press - A,psi,Hydraulic Pressure System A
110,Hyd Oil Press - B,psi,Hydraulic Pressure System B
111,Hyd Oil Qty - A,%,Hydraulic Oil Quantity System A
112,Hyd Oil Qty - B,%,Hydraulic Oil Quantity System B
113,Hydraulic Oil Pressure Standby,psi,Standby Hydraulic Pressure
114,Hydraulic System A ELEC,,Hydraulic A Electric Pump
115,Hydraulic System A Eng 1,,Hydraulic A Engine Pump
116,Hydraulic System B ELEC,,Hydraulic B Electric Pump
117,Hydraulic System B Eng 2,,Hydraulic B Engine Pump
118,Hydraulic System Standby,,Hydraulic Standby System Engaged
119,IAS Display - FCC,,Indicated Airspeed Displayed
120,LNAV Engaged - FCC,,LNAV AP Mode Engaged
121,LNAVLight-FCC,,LNAV Light Active
122,LOC Engaged - FCC,,Localizer AP Mode Engaged
123,LOCAL LIMITED MASTER FCC-L,,FCC Left Master
124,LOCAL LIMITED MASTER FCC-R,,FCC Right Master
125,LVL Change Light - FCC,,Flight Level Change AP Mode Active
126,MACH Trim Servo Brake Status - FCC-L,,Mach Trim Servo Status
127,N1 Light- FCC,,N1 Light Active
128,N1 Limit Mode Cmd - FCC,,N1 Limit AT Mode Engaged
129,Pitch Angle,deg,Aircraft Pitch Angle
130,Roll Angle,deg,Aircraft Roll Angle
131,Roll Rate,deg/s,Aircraft Roll Rate
132,Rudder,deg,Rudder Position
133,Rudder Ped Pos,deg,Rudder Pedal Position
134,Rudder Pos- LVDT DEMOD-STBY PCU,deg,Rudder Standby PCU LVDT Position
135,Rudder Servo Cmd-STBY PCU,deg,Rudder Standby PCU Servo Command
136,Selected Airspeed FCC,kts,Selected Airspeed - FCC
137,Selected Altitude FCC,ft,Selected Altitude - FCC
138,Selected Course Foreign FCC,deg,Selected Course Foreign FCC
139,Selected Course Local FCC,deg,Selected Course Local FCC
140,Selected Mach FCC,mach,Selected Mach Number - FCC
141,Selected Vertical Speed FCC,fpm,Selected Vertical Speed - FCC
142,Single Channel - FCC,,AP on Single Channel
143,SPD Light On - FCC,,SPD Light Active
144,SPEED INTERVENTION ACTIVE - FCC,,Speed Intervention Active
145,TOGA Engaged - FCC,,AT TOGA Mode Engaged
146,Track Angle True FMC,deg,True Track Angle
147,VISUAL ALTITUDE ALERT - FCC,,Visual Altitude Alert Active
148,VNAV Light On - FCC,,VNAV Light Active
149,VNAV PATH Engaged - FCC,,VNAV Path AP Mode Engaged
150,VNAV SPD Engaged - FCC,,VNAV Spd AP Mode Engaged
151,Wind Direction True -FMC,deg,Wind Direction
152,Wind Speed -FMC,kts,Wind Speed
153,Yaw Rate,deg/s,Aircraft Yaw Rate
"Note: This FDR records pressure altitude, Whlch is based on a standard altimeter setting of 29.92 inches of mercury (in Hg). The pressure altitude information presented in the FDR plots and in the tabular data has not been corrected for the local altimeter setting at the time of the event.
Note: Parameters with a blank unit description in table are discretes. A discrete is typically a 1-bit parameter that is either a 0 state or a 1 state where each state is uniquely defined for each parameter.",,,
